时间,播放量,涨粉,取关,点赞,弹幕,评论,分享,收藏,投币
累计,426,1,0,27,0,2,0,2,2
2026/03/12,356,0,0,10,0,2,0,2,2
2026/03/13,13,0,0,4,0,0,0,0,0
2026/03/14,18,1,0,4,0,0,0,0,0
2026/03/15,7,0,0,1,0,0,0,0,0
2026/03/16,6,0,0,2,0,0,0,0,0
2026/03/17,9,0,0,1,0,0,0,0,0
2026/03/18,5,0,0,0,0,0,0,0,0
2026/03/19,2,0,0,2,0,0,0,0,0
2026/03/20,2,0,0,1,0,0,0,0,0
2026/03/21,4,0,0,1,0,0,0,0,0
2026/03/22,4,0,0,1,0,0,0,0,0
